타임스탬프,0. 당신의 성함,0. 당신의 이상형,0.1. 나의 동물상,1-1. 희망하는 자녀 수,1-2. 희망하는 자녀 구성,1-3. 자녀 갖고 싶은 시기,1-4. 생물학적 출산이 어려움 발생 시 대안,"""1. 자녀 계획 및 가족 구성 항목""에 대해 중요도 ","아이가 ""오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?  ",평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다.,"경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?","재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?","두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?","한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다.",맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?,"양가 어르신들이 본인의 가치관과 다른 육아 조언(예: ""애를 너무 손타게 키운다"", ""사탕 좀 주면 어떠냐"")을 하실 때 당신의 생각은?","주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?",아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?,4-1. 자녀 교육비/양육비 지출 비중,"4-2. 육아 휴직, 양육 부담","""4. 경제적 지원 및 가사 분담""에 대해 중요도 ","5-1. 자녀 가치관, 어떤 사람이 되길 바라는가? ","""5. 자녀 가치관""에 대해 중요도 ",Unnamed: 23
2026/02/22 10:02:47 PM GMT+9,오진은,너구리상,고양이상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,4,1,4,5,2,4,5,3,3,1,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/26 9:13:38 PM GMT+9,조도찬,고양이상,원숭이상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,1,1,4,5,4,4,2,3,2,2,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"회복탄력성, 생활력 강한 사람",2,
2026/03/08 10:16:27 PM GMT+9,손예별,강아지상,공룡상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도;무자녀,2,1,4,5,4,4,2,3,2,2,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"회복탄력성, 생활력 강한 사람",2,
2026/02/21 7:21:23 AM GMT+9,송윤혜,쥐상,곰상,2명,오직 딸,경제적 안정 후,입양 고려,1,1,5,5,5,5,1,3,3,5,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",4,
2026/02/23 8:49:39 PM GMT+9,전훈은,고양이상,쥐상,2명,"딸 1명, 아들 1명",결혼 즉시,입양 고려;무자녀,1,2,4,5,2,4,4,2,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/02/22 7:12:08 AM GMT+9,장예담,도룡뇽상,강아지상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,2,1,5,4,3,4,3,5,3,1,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",2,
2026/02/25 7:43:59 AM GMT+9,홍찬태,강아지상,알파카상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,1,4,4,2,4,1,5,2,2,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/02/27 2:24:00 AM GMT+9,서태림,여우상,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,5,1,4,4,5,5,1,1,1,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"자신이 좋아하는 일, 행복",5,
2026/02/26 1:53:26 AM GMT+9,문은진,말상,꽃돼지상,2명,오직 딸,결혼 후 3~5년 이내,무자녀,3,2,4,4,4,2,4,3,2,1,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/26 11:19:19 PM GMT+9,유영아,고양이상,공룡상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,4,2,4,5,3,1,5,4,1,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",4,
2026/02/20 5:43:53 PM GMT+9,노예온,여우상,여우상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려,3,2,4,4,2,2,1,4,2,4,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/03/08 1:06:52 AM GMT+9,전린민,너구리상,코알라상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,5,2,4,1,5,2,2,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/04 4:32:38 PM GMT+9,조서도,여우상,곰상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,3,3,3,5,5,5,4,3,1,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/03/03 9:23:37 PM GMT+9,임현현,곰상,원숭이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,3,4,5,4,4,5,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/02/23 10:12:35 PM GMT+9,서나연,꼬부기상,말상,1명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,4,1,3,5,4,4,5,5,2,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",1,
2026/02/27 4:07:14 PM GMT+9,전주하,고양이상,햄스터상,2명,"딸 1명, 아들 1명",경제적 안정 후,무자녀,2,1,3,5,4,1,2,4,2,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",3,
2026/02/20 11:17:19 AM GMT+9,최림태,사슴상,코알라상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,2,1,4,3,4,4,5,4,1,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",4,
2026/02/27 11:08:35 PM GMT+9,박아훈,고양이상,고양이상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,4,1,5,3,2,4,5,3,3,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",4,
2026/02/22 5:26:45 PM GMT+9,조성도,여우상,여우상,2명,오직 딸,경제적 안정 후,무자녀;입양 고려,2,1,5,4,3,2,1,1,1,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",1,
2026/03/04 10:50:24 AM GMT+9,황담림,여우상,쿼카상,2명,아들1 딸2,결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,2,2,5,5,5,4,5,3,3,1,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/02/20 6:44:54 AM GMT+9,최도도,원숭이상,꽃돼지상,2명,오직 딸,결혼 후 3~5년 이내,무자녀,3,2,4,5,4,1,2,4,4,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"자신이 좋아하는 일, 행복",2,
2026/03/07 7:22:24 AM GMT+9,백찬현,토끼상,쥐상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,1,5,5,4,1,2,4,4,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/24 7:35:42 AM GMT+9,김주경,공룡상,사슴상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도;입양 고려,4,5,4,3,1,5,5,4,3,1,4,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/03/03 1:14:01 PM GMT+9,남성라,알파카상,꽃돼지상,그 이상,되는대로,경제적 안정 후,무자녀,1,1,5,5,4,5,3,3,1,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",1,
2026/02/27 12:56:01 PM GMT+9,서경림,고양이상,쥐상,1명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,2,1,4,5,5,2,5,3,2,5,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/26 2:04:03 AM GMT+9,남진우,알파카상,쥐상,2명,오직 딸,결혼 후 1~2년 이내,무자녀;입양 고려,2,1,4,3,5,5,5,1,1,1,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",5,
2026/03/06 6:30:56 AM GMT+9,오진담,여우상,강아지상,2명,오직 딸,경제적 안정 후,입양 고려,2,1,4,5,5,2,1,3,2,2,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/24 12:22:40 AM GMT+9,윤도지,고양이상,공룡상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,4,1,5,5,2,2,4,4,4,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",4,
2026/02/22 6:13:40 PM GMT+9,허나주,말상,여우상,2명,오직 딸,경제적 안정 후,무자녀;입양 고려,2,1,5,4,4,4,1,3,3,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",4,
2026/03/02 5:28:01 AM GMT+9,장연주,곰상,햄스터상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,2,4,3,2,4,5,4,2,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",4,
2026/03/05 10:47:51 AM GMT+9,김혜호,코알라상,고양이상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도,2,1,5,3,2,4,5,4,2,5,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",5,
2026/03/08 9:45:10 PM GMT+9,임지하,고양이상,꼬부기상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,1,3,4,5,5,3,5,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",2,
2026/03/01 9:03:38 AM GMT+9,유현빈,곰상,오리상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,3,2,5,5,2,3,2,3,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",5,
2026/02/20 11:36:27 AM GMT+9,하아우,여우상,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,2,2,5,5,2,4,4,3,1,2,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/28 8:06:44 AM GMT+9,유겸성,고양이상,햄스터상,2명,"딸 1명, 아들 1명",결혼 즉시,무자녀;의학적 도움 적극 시도,3,3,3,4,3,4,4,4,2,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",3,
2026/03/03 5:46:58 PM GMT+9,오겸우,고양이상,곰상,2명,"딸 1명, 아들 1명",결혼 즉시,무자녀;입양 고려,5,3,4,5,4,4,4,2,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/03/02 9:22:29 AM GMT+9,한예온,알파카상,오리상,2명,"딸 1명, 아들 1명",결혼 즉시,입양 고려;의학적 도움 적극 시도,2,1,5,5,4,4,4,2,3,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"경제적 성공, 사회적 지위",3,
2026/03/04 3:19:19 PM GMT+9,배수아,곰상,강아지상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,2,4,5,5,4,4,5,4,2,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",4,
2026/03/06 4:45:13 AM GMT+9,권태혜,고양이상,도룡뇽상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀;입양 고려,2,2,4,5,4,1,4,3,2,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",5,
2026/02/23 4:40:48 PM GMT+9,고라림,원숭이상,쿼카상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,3,2,4,5,4,5,2,4,2,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"회복탄력성, 생활력 강한 사람",2,
2026/02/26 11:06:46 PM GMT+9,신겸율,오리상,꽃돼지상,3명,오직 딸,결혼 후 3~5년 이내,무자녀;의학적 도움 적극 시도,2,3,4,5,3,4,5,4,4,4,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/25 10:23:04 PM GMT+9,김영아,여우상,말상,1명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,1,2,4,5,4,1,1,4,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",2,
2026/03/01 5:22:44 AM GMT+9,남별별,고양이상,사슴상,1명,오직 딸,결혼 후 1~2년 이내,입양 고려;무자녀;의학적 도움 적극 시도,3,2,4,5,5,5,2,4,2,2,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/25 9:02:10 AM GMT+9,박찬도,여우상,원숭이상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀;입양 고려,4,3,5,4,2,4,4,4,3,4,3,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",2,
2026/03/02 5:56:43 AM GMT+9,윤도주,쿼카상,말상,3명,아들1 딸2,결혼 후 1~2년 이내,입양 고려,3,3,4,5,5,4,5,4,3,5,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/20 9:25:15 AM GMT+9,전서겸,고양이상,오리상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,2,3,5,5,5,2,2,3,3,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",2,
2026/02/20 12:14:24 AM GMT+9,양담담,여우상,말상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,5,5,5,5,5,5,5,3,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",3,
2026/02/20 9:57:44 AM GMT+9,남솔지,여우상,알파카상,2명,딸2 아들1,결혼 후 1~2년 이내,의학적 도움 적극 시도,5,5,5,4,2,5,1,1,1,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"도덕적, 타인 배려",5,
2026/03/04 6:55:18 PM GMT+9,전경찬,쿼카상,사슴상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,2,1,5,5,5,3,3,5,4,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 5:00:49 AM GMT+9,강준연,고양이상,토끼상,그 이상,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,2,1,4,3,2,4,5,4,3,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"도덕적, 타인 배려",4,
2026/02/20 12:33:37 AM GMT+9,김우태,여우상,늑대상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,2,1,4,5,4,4,2,4,2,2,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",3,
2026/02/22 10:47:14 AM GMT+9,신린준,곰상,곰상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,5,5,5,5,2,5,1,1,1,1,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",4,
2026/03/02 12:33:05 PM GMT+9,신온린,오리상,쥐상,1명,오직 딸,경제적 안정 후,무자녀,3,2,5,4,4,2,1,3,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",3,
2026/02/28 7:57:51 PM GMT+9,정하서,곰상,곰상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;무자녀,1,1,4,5,5,5,5,5,3,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",4,
2026/03/01 11:25:27 AM GMT+9,심혜지,공룡상,도룡뇽상,2명,오직 딸,경제적 안정 후,무자녀;의학적 도움 적극 시도,1,1,5,3,4,2,5,2,4,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",1,
2026/03/07 10:57:48 PM GMT+9,강우현,여우상,쥐상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도,3,4,4,5,2,1,2,4,4,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/02/24 7:39:54 PM GMT+9,오주우,곰상,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,5,4,5,5,4,4,1,2,2,1,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"회복탄력성, 생활력 강한 사람",5,
2026/03/05 6:48:43 AM GMT+9,권주예,고양이상,도룡뇽상,1명,오직 딸,경제적 안정 후,무자녀;입양 고려,4,3,5,5,2,5,2,4,2,4,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",2,https://drive.google.com/u/0/open?usp=forms_web&id=1vIzRJ4Im86hUXmTW1R7XuSG_LbEnWW9J
2026/02/25 5:38:54 AM GMT+9,손훈윤,여우상,토끼상,2명,오직 딸,경제적 안정 후,입양 고려;무자녀,2,1,4,5,4,4,2,3,2,2,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",2,
2026/02/25 8:49:08 AM GMT+9,허찬서,너구리상,고양이상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,5,1,5,4,3,2,4,5,4,4,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",2,
2026/03/08 1:51:37 AM GMT+9,손영온,토끼상,꼬부기상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도,4,1,5,5,5,4,3,3,1,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/20 6:17:37 PM GMT+9,김우지,너구리상,너구리상,2명,오직 딸,경제적 안정 후,입양 고려,4,1,4,4,3,2,4,1,2,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/02/20 6:41:35 PM GMT+9,정아담,고양이상,햄스터상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,4,1,5,4,3,2,4,1,1,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"도덕적, 타인 배려",2,
2026/02/25 12:33:42 AM GMT+9,조림빈,곰상,늑대상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,5,1,5,5,3,3,4,3,2,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"자신이 좋아하는 일, 행복",2,
2026/02/27 11:11:56 AM GMT+9,강림훈,공룡상,쥐상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도;입양 고려,2,2,5,5,2,3,2,4,2,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",5,
2026/03/08 4:02:39 AM GMT+9,손윤서,고양이상,고양이상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,5,2,5,5,4,4,4,2,2,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",4,"자신이 좋아하는 일, 행복",3,
2026/03/07 9:19:52 PM GMT+9,노연온,강아지상,강아지상,2명,오직 딸,결혼 후 3~5년 이내,무자녀;의학적 도움 적극 시도,4,2,4,5,5,1,2,4,4,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"회복탄력성, 생활력 강한 사람",3,
2026/02/25 4:30:36 PM GMT+9,권은윤,강아지상,햄스터상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려;무자녀,2,1,4,4,3,4,4,4,2,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",4,
2026/02/24 12:28:10 PM GMT+9,전하빈,여우상,여우상,1명,오직 딸,결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,2,1,5,4,4,4,4,4,2,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/25 5:51:31 AM GMT+9,양민하,고양이상,늑대상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도,4,1,5,5,4,4,2,5,2,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/21 2:53:19 PM GMT+9,윤지민,알파카상,곰상,3명,아들1 딸2,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,3,4,5,5,4,4,5,3,5,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",3,
2026/02/25 3:37:03 PM GMT+9,배온수,강아지상,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,1,5,5,4,5,5,3,2,2,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",2,
2026/02/25 7:30:05 PM GMT+9,홍태아,곰상,원숭이상,1명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,3,1,4,4,5,4,2,4,2,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",5,
2026/03/06 1:30:50 PM GMT+9,신예담,강아지상,여우상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,4,2,5,5,2,4,3,4,2,4,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/03/05 5:07:56 AM GMT+9,임연진,여우상,꽃돼지상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도,3,2,5,5,2,1,2,3,2,1,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",5,
2026/03/06 6:30:41 PM GMT+9,권주경,강아지상,너구리상,그 이상,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,1,1,5,5,2,5,2,3,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/03/05 12:42:12 PM GMT+9,윤진현,알파카상,여우상,3명,아들1 딸2,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,3,4,5,5,4,4,3,2,4,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/26 5:25:29 AM GMT+9,심우림,토끼상,사슴상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,5,5,4,5,4,2,5,3,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/03/05 11:21:08 PM GMT+9,정주준,고양이상,말상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;무자녀,2,1,4,3,2,1,2,5,4,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/02/20 5:32:05 AM GMT+9,서솔혜,여우상,여우상,2명,"딸 1명, 아들 1명",경제적 안정 후,무자녀,4,5,5,4,2,5,1,1,1,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",2,
