타임스탬프,0. 당신의 성함,0. 당신의 이상형,1-1. 희망하는 자녀 수,1-2. 희망하는 자녀 구성,1-3. 자녀 갖고 싶은 시기,1-4. 생물학적 출산이 어려움 발생 시 대안,"""1. 자녀 계획 및 가족 구성 항목""에 대해 중요도 ","아이가 ""오늘만 양치 안하고 그냥 자면 안돼요? 라고 칭얼거릴 때 어떻게 하시겠습니까?  ",평소 밤 9시에 자기로 약속했습니다. 그런데 오늘 아이가 읽고 싶어 하던 동화책 시리즈의 마지막 권을 다 읽고 싶다며 30분만 더 시간을 달라고 합니다.,"경쟁 상황에서의 태도 아이가 운동 경기나 대회에서 아쉽게 2등을 했습니다. 아이는 충분히 잘했다고 기뻐하는데, 당신의 마음속 생각은?","재능 발견과 교육 아이가 특정 분야(예: 피아노, 운동)에 천재적인 재능을 보입니다. 이때 당신의 교육 방향은?","두 사람의 훈육 방식이 부딪힐 때, 누구의 의견을 따라야 한다고 생각하시나요?","한 명은 퇴근 후 아이와 놀아주고, 한 명은 밀린 집안일을 해야 하는 상황입니다.",맞벌이 상황 등에서 조부모님이 아이를 봐주겠다고 제안하신다면?,"양가 어르신들이 본인의 가치관과 다른 육아 조언(예: ""애를 너무 손타게 키운다"", ""사탕 좀 주면 어떠냐"")을 하실 때 당신의 생각은?","주말에 아이와 동물원에 가기로 했는데, 아침에 일어나니 갑자기 비가 옵니다. 이때 당신의 반응은?",아이의 교육 자금이나 미래 리스크를 대비하는 당신의 생각은?,4-1. 자녀 교육비/양육비 지출 비중,"4-2. 육아 휴직, 양육 부담","""4. 경제적 지원 및 가사 분담""에 대해 중요도 ","5-1. 자녀 가치관, 어떤 사람이 되길 바라는가? ","""5. 자녀 가치관""에 대해 중요도 ",Unnamed: 23
2026/02/23 10:28:55 PM GMT+9,배윤우,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀;입양 고려,2,1,4,5,1,1,4,1,3,1,5,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",5,"회복탄력성, 생활력 강한 사람",5,
2026/03/03 5:31:30 PM GMT+9,전림경,강아지상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려,4,2,4,5,4,1,2,4,4,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,자기주도적으로 배우고 성장하는 사람,2,
2026/02/21 6:38:50 PM GMT+9,배준은,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,4,4,4,4,2,4,1,5,4,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",3,
2026/02/25 1:16:23 PM GMT+9,최빈호,여우상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,1,2,4,5,2,3,5,5,2,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/02/24 10:37:24 AM GMT+9,한은훈,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,4,1,5,5,3,1,4,5,4,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",2,
2026/03/01 8:43:29 AM GMT+9,노림하,고양이상,2명,오직 딸,결혼 후 1~2년 이내,무자녀,1,2,5,5,2,3,2,3,3,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/02/23 3:12:16 AM GMT+9,신경민,여우상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도;입양 고려;무자녀,2,3,3,4,2,5,4,3,1,5,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"회복탄력성, 생활력 강한 사람",1,
2026/02/25 1:02:14 PM GMT+9,조하도,곰상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,2,2,4,5,4,1,1,4,1,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/01 10:20:12 PM GMT+9,한현준,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,3,2,5,4,2,3,2,4,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",5,
2026/02/28 3:23:36 AM GMT+9,문율진,고양이상,2명,"딸 1명, 아들 1명",결혼 즉시,입양 고려;무자녀,5,2,5,5,4,4,4,2,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",3,
2026/03/03 1:56:58 PM GMT+9,최영담,여우상,2명,오직 딸,경제적 안정 후,입양 고려,3,2,5,4,4,2,1,3,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,돈과 일에 휘둘리지 않고 균형 잡힌 사람,3,
2026/03/02 3:24:11 AM GMT+9,고린하,사자상,1명,오직 딸,경제적 안정 후,무자녀;의학적 도움 적극 시도,2,4,5,5,4,4,4,4,3,4,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,건강한 생활 습관을 가진 사람,1,
2026/03/03 9:16:39 PM GMT+9,배별지,여우상,2명,오직 딸,경제적 안정 후,무자녀,5,1,4,5,2,4,5,4,1,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/02/27 9:12:23 PM GMT+9,윤별윤,토끼상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,3,2,4,5,4,3,1,3,4,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",1,
2026/02/22 5:41:47 PM GMT+9,하빈진,여우상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도;입양 고려;무자녀,1,2,1,5,5,5,4,3,3,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,돈과 일에 휘둘리지 않고 균형 잡힌 사람,1,
2026/02/28 12:25:42 PM GMT+9,손수호,고양이상,그 이상,되는대로,경제적 안정 후,의학적 도움 적극 시도;무자녀;입양 고려,1,1,5,5,3,5,3,4,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",4,
2026/02/27 11:55:59 PM GMT+9,손나훈,곰상,3명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,5,5,4,5,5,5,5,3,5,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",1,"회복탄력성, 생활력 강한 사람",3,
2026/02/20 3:17:05 AM GMT+9,김영영,곰상,2명,오직 딸,결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,2,1,4,4,2,5,5,4,2,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",4,
2026/02/25 10:11:01 AM GMT+9,강영솔,고양이상,1명,오직 딸,경제적 안정 후,무자녀,5,1,5,5,2,4,2,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 11:57:25 PM GMT+9,권서율,고양이상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,1,3,5,5,4,3,5,4,2,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",3,
2026/02/22 11:16:02 AM GMT+9,송준진,토끼상,1명,오직 딸,경제적 안정 후,무자녀;의학적 도움 적극 시도,4,2,5,5,3,4,2,4,2,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 1:35:37 PM GMT+9,손율린,곰상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려;의학적 도움 적극 시도,2,3,2,4,1,4,4,3,1,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"자신이 좋아하는 일, 행복",1,
2026/02/21 9:18:15 PM GMT+9,홍은준,호랑이상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀,2,3,5,4,2,5,4,3,1,3,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",1,
2026/02/25 7:25:00 AM GMT+9,유우온,토끼상,3명,"딸 2명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,1,5,5,5,3,5,5,5,3,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"자신이 좋아하는 일, 행복",3,
2026/03/02 7:05:14 PM GMT+9,배서윤,여우상,1명,딸2 아들1,경제적 안정 후,입양 고려,2,1,4,5,4,1,1,3,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,자기주도적으로 배우고 성장하는 사람,3,
2026/02/25 12:53:09 AM GMT+9,하우겸,여우상,2명,"딸 1명, 아들 1명",경제적 안정 후,무자녀;의학적 도움 적극 시도,1,2,1,4,5,4,5,3,3,5,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"자신이 좋아하는 일, 행복",1,
2026/02/21 5:44:05 PM GMT+9,윤태영,쿼카상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,4,1,5,5,3,2,4,3,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"자신이 좋아하는 일, 행복",2,
2026/02/25 1:53:13 PM GMT+9,오민훈,강아지상,1명,오직 딸,경제적 안정 후,입양 고려;의학적 도움 적극 시도,4,2,4,4,4,2,5,1,3,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/02/21 7:48:16 PM GMT+9,윤지은,꼬부기상,2명,"딸 2명, 아들 1명",결혼 후 3~5년 이내,입양 고려,3,4,5,3,3,4,1,3,4,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,다른 사람을 존중하고 협력하는 사람,4,
2026/02/26 4:47:52 PM GMT+9,신연수,여우상,1명,오직 딸,경제적 안정 후,입양 고려,1,2,5,5,2,3,2,4,2,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,자기주도적으로 배우고 성장하는 사람,2,
2026/02/26 10:52:31 AM GMT+9,안지수,여우상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,1,1,1,5,2,5,4,3,3,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"경제적 성공, 사회적 지위",3,
2026/02/27 1:31:54 PM GMT+9,홍라온,곰상,1명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,1,4,5,5,2,1,4,2,4,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/02/26 10:26:46 AM GMT+9,한린민,곰상,1명,오직 딸,경제적 안정 후,입양 고려,3,2,4,4,4,2,5,2,1,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"회복탄력성, 생활력 강한 사람",3,
2026/03/01 12:09:12 PM GMT+9,홍지겸,곰상,2명,"딸 2명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,4,2,4,5,4,1,2,4,2,4,5,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",4,
2026/02/26 10:23:46 PM GMT+9,남은솔,여우상,2명,오직 딸,경제적 안정 후,무자녀;입양 고려,4,1,5,5,2,4,2,4,4,4,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",2,
2026/02/25 8:23:55 PM GMT+9,문온담,여우상,1명,오직 딸,경제적 안정 후,무자녀,4,2,5,4,3,2,2,4,4,2,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",5,
2026/02/27 11:15:12 PM GMT+9,신준지,곰상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도;무자녀,2,3,3,4,2,5,4,3,1,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,"회복탄력성, 생활력 강한 사람",1,
2026/03/03 12:05:02 PM GMT+9,박경하,여우상,2명,오직 딸,결혼 후 1~2년 이내,무자녀,3,1,5,4,4,2,2,4,1,4,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"도덕적, 타인 배려",2,
2026/02/22 6:28:44 AM GMT+9,신은태,곰상,2명,"딸 1명, 아들 1명",결혼 즉시,의학적 도움 적극 시도;입양 고려,2,1,5,5,4,4,4,2,2,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,실패해도 다시 도전하는 용기 있는 사람,3,
2026/02/27 9:45:44 PM GMT+9,문나은,강아지상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,2,2,4,5,4,1,1,4,3,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자녀의 입에서 나는 엄마, 아빠처럼 살래요 라는 말과 목표가 나오도록 / 가장 존경하는 사람이 누구인가 라고 자녀에게 누군가 물어보면, 우리 엄마 아빠요 라고 대답할 수 있는 사람이 되었으면 좋겠습니다",3,
2026/02/25 9:20:51 PM GMT+9,허우주,곰상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,3,3,4,2,5,4,3,1,2,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"도덕적, 타인 배려",3,
2026/02/25 12:36:03 PM GMT+9,손연윤,곰상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,4,2,5,4,3,4,2,4,2,2,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"회복탄력성, 생활력 강한 사람",5,
2026/02/26 11:06:22 PM GMT+9,강주린,사자상,2명,오직 딸,결혼 즉시,입양 고려,2,2,4,5,4,4,5,2,1,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",3,
2026/02/20 7:02:56 AM GMT+9,신우나,강아지상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,5,5,2,2,2,5,2,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,건강한 생활 습관을 가진 사람,5,
2026/03/03 8:59:51 AM GMT+9,서라담,공룡상,1명,오직 딸,경제적 안정 후,입양 고려,3,2,4,5,5,2,1,3,3,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,책임감 있고 약속을 지키는 사람,2,
2026/02/23 2:49:11 AM GMT+9,한예하,여우상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,의학적 도움 적극 시도,2,3,5,5,4,5,4,3,1,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"도덕적, 타인 배려",4,
2026/03/01 2:48:35 AM GMT+9,허도서,고양이상,2명,오직 딸,결혼 후 1~2년 이내,무자녀,1,2,5,5,3,5,3,3,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,책임감 있고 약속을 지키는 사람,1,
2026/02/24 6:41:28 AM GMT+9,황우나,곰상,2명,오직 딸,결혼 후 3~5년 이내,입양 고려;무자녀,5,1,1,5,2,4,5,3,3,1,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",2,
2026/03/02 7:13:27 AM GMT+9,윤온영,꽃돼지상,1명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,3,2,4,4,4,3,2,3,2,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,배려와 선의를 실천하는 사람,3,
2026/02/21 2:36:46 AM GMT+9,백우혜,고양이상,2명,오직 딸,경제적 안정 후,무자녀,1,4,1,5,5,5,5,4,3,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",1,건강한 생활 습관을 가진 사람,1,
2026/02/28 10:03:22 AM GMT+9,강라혜,꽃돼지상,1명,오직 딸,결혼 후 1~2년 이내,무자녀,2,2,5,4,3,2,3,1,2,4,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/02/28 12:21:02 AM GMT+9,임성나,곰상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도;무자녀,2,1,5,4,4,4,4,4,3,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",2,
2026/02/23 12:59:26 AM GMT+9,김준도,고양이상,2명,오직 딸,결혼 즉시,의학적 도움 적극 시도;입양 고려,1,3,5,5,4,4,4,2,3,3,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/22 6:29:48 AM GMT+9,손준영,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,5,5,5,5,2,5,1,1,1,5,2,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",5,"회복탄력성, 생활력 강한 사람",5,
2026/02/25 2:58:46 PM GMT+9,오겸빈,토끼상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,무자녀;입양 고려,2,4,5,5,4,4,5,4,2,4,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",3,"회복탄력성, 생활력 강한 사람",4,
2026/02/28 10:02:13 AM GMT+9,하준겸,사슴상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,3,4,5,5,4,1,5,2,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/26 5:05:32 AM GMT+9,전나준,여우상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,2,1,4,4,2,4,1,2,2,3,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",3,"자신이 좋아하는 일, 행복",3,
2026/02/28 9:24:06 PM GMT+9,최연찬,고양이상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,3,4,5,5,4,5,4,1,5,5,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"회복탄력성, 생활력 강한 사람",3,
2026/02/27 1:58:32 AM GMT+9,손진아,곰상,3명,딸2 아들1,결혼 즉시,의학적 도움 적극 시도,1,3,5,5,4,4,5,5,1,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",3,배려와 선의를 실천하는 사람,1,
2026/02/21 9:52:55 AM GMT+9,배율은,토끼상,3명,오직 딸,결혼 후 1~2년 이내,무자녀;입양 고려,1,3,5,5,4,4,5,5,4,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",4,"도덕적, 타인 배려",1,
2026/02/28 1:34:55 AM GMT+9,김담하,고양이상,1명,오직 딸,경제적 안정 후,입양 고려;무자녀,4,1,5,4,3,4,1,5,1,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,자기 감정을 잘 표현하고 조절하는 사람,5,
2026/03/02 10:22:53 PM GMT+9,장하도,강아지상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,2,1,5,4,5,2,3,5,4,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,다른 사람을 존중하고 협력하는 사람,2,
2026/03/02 12:16:08 PM GMT+9,송현라,곰상,2명,오직 딸,결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도;무자녀,2,4,4,5,2,2,2,3,4,1,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",4,
2026/02/21 7:26:14 PM GMT+9,백호진,곰상,2명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도;무자녀,2,1,4,4,2,5,1,5,2,3,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",2,
2026/02/26 8:59:06 AM GMT+9,문호담,여우상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;의학적 도움 적극 시도,4,3,4,4,2,4,4,4,4,4,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",3,
2026/02/22 4:18:09 PM GMT+9,전나린,여우상,1명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,1,5,5,4,1,4,5,4,4,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",3,"도덕적, 타인 배려",3,
2026/03/03 4:03:14 AM GMT+9,권빈수,강아지상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,1,1,5,4,3,4,1,3,2,5,2,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"도덕적, 타인 배려",3,
2026/02/22 12:39:34 PM GMT+9,백찬수,쿼카상,1명,"딸 1명, 아들 1명",경제적 안정 후,의학적 도움 적극 시도,4,2,5,5,3,5,2,4,2,4,2,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",5,"회복탄력성, 생활력 강한 사람",2,
2026/02/27 11:31:07 PM GMT+9,강우별,강아지상,2명,오직 딸,결혼 즉시,입양 고려,2,2,5,5,4,4,4,2,1,5,5,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",3,
2026/03/02 1:40:40 AM GMT+9,한현수,늑대상,2명,"딸 1명, 아들 1명",경제적 안정 후,입양 고려;의학적 도움 적극 시도,2,2,5,5,4,5,4,2,1,5,3,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",3,
2026/02/22 2:15:41 AM GMT+9,하민린,쿼카상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀,4,2,3,5,2,2,4,4,3,4,1,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"자신이 좋아하는 일, 행복",2,
2026/02/27 2:28:49 AM GMT+9,장율솔,곰상,1명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,2,5,4,4,5,5,2,5,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",2,"자신이 좋아하는 일, 행복",2,
2026/02/24 4:28:39 PM GMT+9,윤윤민,꼬부기상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,무자녀;의학적 도움 적극 시도,3,1,4,4,2,3,5,1,3,2,3,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,창의적으로 문제를 해결하는 사람,2,
2026/02/25 8:44:24 PM GMT+9,서민린,여우상,2명,오직 딸,경제적 안정 후,입양 고려,3,1,4,5,5,1,1,3,2,4,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",4,정서적으로 안정되고 공감할 줄 아는 사람,3,
2026/02/24 2:35:14 AM GMT+9,문별겸,여우상,1명,딸2 아들1,경제적 안정 후,무자녀,2,1,5,5,3,5,3,3,1,5,1,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,배려와 선의를 실천하는 사람,1,
2026/02/26 6:20:57 PM GMT+9,박훈연,강아지상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려,4,1,5,5,3,2,4,5,4,5,4,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"도덕적, 타인 배려",2,
2026/02/21 9:39:54 AM GMT+9,권진우,곰상,2명,딸2 아들1,결혼 후 1~2년 이내,입양 고려;무자녀,1,5,4,5,4,1,2,5,3,5,4,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"도덕적, 타인 배려",4,
2026/03/02 2:40:10 PM GMT+9,양은담,곰상,2명,오직 딸,경제적 안정 후,의학적 도움 적극 시도,2,1,5,4,5,5,5,3,3,4,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/24 7:01:17 PM GMT+9,최린솔,여우상,2명,오직 딸,경제적 안정 후,무자녀;의학적 도움 적극 시도,2,1,5,4,4,4,4,4,3,4,1,노후보단 자녀 교육,"맞벌이하면서 외부 도움(조부모, 시터)",2,"회복탄력성, 생활력 강한 사람",5,
2026/02/23 7:54:35 PM GMT+9,손연라,강아지상,2명,"딸 1명, 아들 1명",결혼 후 3~5년 이내,입양 고려,2,1,4,3,2,3,5,4,2,2,5,"노후 먼저, 남는 예산으로 지원","맞벌이하면서 외부 도움(조부모, 시터)",4,"경제적 성공, 사회적 지위",4,
2026/03/02 11:46:59 PM GMT+9,고별온,곰상,2명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도,2,1,4,4,2,4,1,5,2,1,4,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,"경제적 성공, 사회적 지위",3,
2026/03/02 2:02:24 AM GMT+9,전빈율,강아지상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도;무자녀,1,5,5,5,5,5,4,3,3,5,3,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",1,"도덕적, 타인 배려",3,
2026/03/01 12:47:44 PM GMT+9,안태민,여우상,2명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,의학적 도움 적극 시도,2,3,4,4,2,2,5,3,4,4,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,건강한 생활 습관을 가진 사람,3,
2026/02/20 12:55:36 PM GMT+9,배태빈,곰상,3명,"딸 1명, 아들 1명",결혼 후 1~2년 이내,입양 고려;무자녀,1,1,4,5,4,4,5,3,3,5,2,노후보단 자녀 교육,"경제력 높은 사람 일하고, 한명은 전담 육아",2,돈과 일에 휘둘리지 않고 균형 잡힌 사람,5,
2026/02/23 1:29:38 PM GMT+9,박호솔,쿼카상,3명,오직 딸,결혼 후 1~2년 이내,의학적 도움 적극 시도;입양 고려,2,3,4,5,5,4,5,4,3,5,1,"노후 먼저, 남는 예산으로 지원","경제력 높은 사람 일하고, 한명은 전담 육아",2,"회복탄력성, 생활력 강한 사람",3,
